OBJECTID,OA01CD,OA01CDOLD,Shape__Area,Shape__Length,GlobalID
74391,E00074019,00HBPM0020,16617.8518066406,676.367889707001,8cace571-7640-4d8b-a75d-473ef98354cc
74729,E00074357,00HBPX0031,75701.2846221924,1718.55755123976,657d6da9-c962-421d-8f54-041fa8f28e23
75276,E00074904,00HCPU0017,42440.2886505127,1155.69685295747,6c0629d2-5036-428a-9954-26dccb15fc43
161836,E00163723,46UFHC0001,134340.773593903,2007.01866864989,5cb996a2-3d22-4c9b-bb9b-d4895cd3f7b3
173289,E00163458,46UFGG0012,642711.985496521,4620.58046838139,744f2480-6c2b-4fad-bf12-d83b4dcc60bc
173295,E00163464,46UFGH0003,34564.1045646667,1268.51863502586,a5ae8760-d2fd-4545-8dd9-0e12882dde7e
172656,E00162825,46UCHS0001,49596.538974762,1043.123618229,61b3dc3f-86dc-47e5-8206-0b12aa6b0784
172502,E00162671,46UCGY0009,7892975.54063034,19337.4335370299,5d8f50e8-86c6-4ce4-b99a-460c55d8934b
75270,E00074898,00HCPU0011,155932.858791351,2641.07891772206,f7c2d9de-befd-40d8-bff7-f3b4523e6217
76063,E00075691,00HDPU0019,51622.7874717712,1718.39983427671,77c3d5c0-fcd0-461d-9399-408fee9a4f75
76057,E00075685,00HDPU0013,67959.0033760071,1515.33764882416,3a4b4987-5b69-4278-a246-0d3f15b6dff7
72768,E00072768,00HAPE0014,305490.636547089,2558.02197757502,49a379d5-b734-4f06-86f6-d436b82d3386
73057,E00073057,00HAPZ0009,48561.7756690979,1495.78116621683,69660c86-bd0f-4cda-9e93-8a99c30e2681
73063,E00073063,00HAPZ0015,12702.4631309509,682.617093663765,207a1246-5761-4abe-b6ae-1989aa2dfaef
173492,E00163661,46UFGY0013,50567.5473594666,1355.22602913613,75cb53c3-780a-40b9-810f-62ca34732de8
73255,E00073255,00HBNP0032,54771.092666626,1406.2835711392,5173765b-265a-48bb-9e54-f3ac5598e567
74829,E00074457,00HCNP0018,1196330.32198334,7529.60025716246,ba5c9919-7b44-47ef-af10-ede182529306
74337,E00073965,00HBPL0001,47889.3432579041,1359.26482328742,d397e1cd-c694-4571-b279-d53cf3bf62a8
75078,E00074706,00HCPJ0002,148884.701381683,2813.32625684319,634cb1ce-e546-46de-9c76-44981ba150cb
74583,E00074211,00HBPS0019,38107.6204948425,1188.5259138112,68b5229f-4001-4b3a-abfc-e0c4d8556740
73996,E00073624,00HBPA0027,53733.2842254639,1060.53838625565,95ca6fa8-5954-4711-8e48-2a7576bf7d14
85157,W00008087,00PPNY0003,47613.9957618713,1185.76291832201,9446c07e-b9a2-4292-b3dd-f0a37299e2c6
173389,E00163558,46UFGP0009,56170.491809845,1595.60211708554,8deef92c-87c9-4309-a752-3ea3af484e9b
75665,E00075293,00HDPD0020,62710.1071929932,1282.93901752379,fc1a6876-5cb4-463f-ac8b-4ddacad20645
76157,E00075785,00HDPZ0021,79653.1020202637,1826.79044556034,7aff4884-d0b2-4602-aaf7-da9e66de1166
75911,E00075539,00HDPN0028,85195.4877166748,1730.62300382586,40ac8fa9-4e3c-4342-8b8e-48faaf70b0ca
72668,E00072668,00HANY0003,790672.961845398,4948.1402279831,8e767f1e-0f72-4aef-878b-85720f2af333
76255,E00075883,00HDQD0011,89852.3143577576,2143.88977060786,da459861-cc80-4e40-9223-73137ffbd076
75422,E00075050,00HCQB0002,49798.3124885559,1256.4863908571,8f128c8e-da53-43c4-99fc-b4eb5f64f87c
74978,E00074606,00HCPC0009,3824863.81734467,8818.55975879655,4012b781-cd47-41e1-bfc7-9c30baf255f9
73355,E00073417,00HBNU0004,157099.009662628,3479.86426019178,57ab70e8-1dce-46b7-97ae-4dc508b9c40a
73896,E00073524,00HBNY0005,25622.5337181091,1141.3811959843,eda27c38-7f29-4d0a-af7b-a1f668f80eea
74683,E00074311,00HBPW0011,1735085.57740402,9826.98145496187,f7eb53da-ec1a-4e5d-b26d-cbf409831ffc
76011,E00075639,00HDPS0038,306155.512657166,3248.34126844045,c68d20a7-f4c1-416d-9d42-b291cac1da05
75765,E00075393,00HDPH0002,39269.7322769165,1048.03008704506,5e3d7571-1b39-4eef-bed5-40230e5548fd
173538,E00163707,46UFHB0001,58665.6078643799,1374.90306599688,11459f28-6e7c-427f-91ee-fe2b27aab39d
76109,E00075737,00HDPX0007,74953.4673309326,2056.32416110626,1f1760e5-402f-4c1a-9d4f-60ff7efd37f5
75470,E00075098,00HDNR0009,6322372.77968597,15919.1708369744,9b81fada-3c91-4e51-8da0-a5eaaf45abe2
74142,E00073770,00HBPE0025,54579.1194038391,1306.04173275711,a12a3dc5-584f-41f1-8a57-2703f0d71ce5
74437,E00074065,00HBPN0022,44048.9723358154,1237.70226088793,4b377220-30af-4967-9ade-dda9028e7430
75568,E00075196,00HDNY0008,37919.8818435669,1270.97985266914,b55ed647-f2b7-4263-9257-6123d00e19a8
73109,E00073109,00HAQC0004,44035.9140930176,1047.35652363435,3f569f5d-852a-49e6-9211-9c9bfa037997
72814,E00072814,00HAPH0002,28961.9960708618,842.530671051428,cb3c1baf-9754-4d66-8e39-c5ca6d2a3953
75047,E00074675,00HCPG0017,83641.2536354065,1836.77589343857,61eaba16-fc95-4700-b36c-59ccf6ab8ec0
74620,E00074248,00HBPT0021,26580.9929962158,932.019425796372,b3e47fee-f587-4e20-9eca-44ef61b9542b
75782,E00075410,00HDPH0019,72415.9993438721,1614.53764084528,fd89736b-f474-4419-a8e5-77ca7ac6da4d
74786,E00074414,00HBPZ0016,120809.433414459,2566.27872800821,fc2449fa-460a-4b99-bb54-febba0a0b9a3
75118,E00074746,00HCPN0005,60080.0188598633,1672.95109115421,68164338-d48e-4647-9756-7e97bea1a71b
74122,E00073750,00HBPE0005,56723.8300476074,1486.69600164699,d9843e56-df5f-4ab0-b844-60ed1665ac0d
76209,E00075837,00HDQB0010,73433.6261672974,1463.20287574628,0fa1f829-0cb6-4224-ba22-7e9e771fe039
96011,W00008215,00PPPT0003,352536.403049469,3255.54733119879,aea13705-1f57-49c8-8e72-c9dadb47bbec
72960,E00072960,00HAPR0019,49131.0975227356,1688.78595365278,cbe54d72-a1c9-4217-842c-4e129d4caecc
173346,E00163515,46UFGM0001,1720930.83742905,9814.59840287122,b6989c12-cc12-4433-ba0a-c3c1a1bc7e2f
75284,E00074912,00HCPU0025,54630.5723762512,1660.41852656823,a7515969-8637-4d54-8d7d-a9676a2e3872
96438,W00008642,00PRNL0017,82235.1687583923,1827.76435413456,96045c1f-e743-4447-8dbe-1f4e1d85da37
76043,E00075671,00HDPT0024,37267.572052002,1188.784581523,cd421482-3f45-43c5-bc23-cd989fcf4e54
75545,E00075173,00HDNX0014,32194.0023956299,1084.58481306364,1aaba0c4-6885-413d-afed-a37a43a3fd63
73126,E00073126,00HAQD0002,163503.454357147,2081.98961336629,a9256aa6-cf21-46a1-8a5b-ae34b00cf379
72628,E00072566,00HANP0004,28230.5419235229,1013.77867407704,7bc65037-0ea1-4fa4-bd81-f6f25e8f4797
172682,E00162851,46UCHW0001,104277.971916199,1884.82610830284,357e4083-ed61-4431-b3df-ade49c51d3ea
75616,E00075244,00HDPB0005,21601677.8139572,43292.8767766955,919170a4-6a00-43e9-ae36-b2e0a066e5b3
74975,E00074603,00HCPC0006,2511419.76504135,8314.47948276891,3fb6489e-3bfb-4061-8b55-aa3819955c45
75024,E00074652,00HCPF0015,134478.19405365,2338.22480372709,5a50ea69-23c3-4810-aff5-6eed0d3c260a
74028,E00073656,00HBPB0021,69134.2357826233,1532.11666783289,7dc878e5-813d-4f56-9aac-7d3791260953
74643,E00074271,00HBPU0006,55568.4499015808,1503.30111034521,80c7744c-96a2-48e7-9c08-22cf3575469b
76186,E00075814,00HDQA0021,79819.1824645996,2114.78219700094,61d07b1a-7667-4dde-b1f1-ad2ddc88f454
74526,E00074154,00HBPR0001,68464.7333106995,1330.89399299281,19d75abd-7b75-4653-948f-dacf9e2a590b
75688,E00075316,00HDPE0009,50633.3671951294,1527.05532116878,eabaf232-88ff-4fca-94a5-1c959520fdfd
75639,E00075267,00HDPC0016,67498.5988502502,1457.92817675923,17163dc4-cc85-40e3-9fa5-59b5d3d9ab17
173535,E00163704,46UFHA0019,57755.5372009277,1292.24403298744,7156cbb2-2889-464e-b45e-b7bfe0ebbeb8
158049,E00148156,40UCGM0005,4344065.25828552,11192.0050008492,e50b53d7-3764-4cab-a595-f98f609e13b4
74145,E00073773,00HBPE0028,86497.2285575867,1938.52392405556,7a8508c7-951a-4595-a666-5aadb33c7f80
74692,E00074320,00HBPW0020,124047.848052979,2543.43726860053,ddaac0c0-2db0-4d76-80c9-22911bd385cd
74477,E00074105,00HBPP0027,102201.36536026,1463.95035779797,ed0bd406-45db-4042-966a-bff3842653e4
74194,E00073822,00HBPG0005,44096.1389503479,1164.57057126863,5f65fd08-ac59-4a43-b013-5a986839b583
73979,E00073607,00HBPA0010,33521.5565872192,1131.68070090923,e5c0be18-0b78-4ae7-b007-1eb16b46c536
76137,E00075765,00HDPZ0001,2188548.86301804,6742.36485761005,ce0094fc-aba0-41f1-97fd-78d0c6667cf7
74171,E00073799,00HBPF0020,45784.2481231689,1795.24834250922,c24b1616-52ce-45f5-8dfa-31482a6b191f
72748,E00072748,00HAPD0012,41947.9668769836,1200.28259288119,11d03a34-e020-4b3d-8bfa-f092cd77ae21
75831,E00075459,00HDPK0019,37833.1405830383,970.645382199643,e6646a1c-2367-47eb-b2fe-175b83e63961
73338,E00073338,00HBNS0001,44329.5761489868,1381.45594408995,ec75ea39-f29a-4e1a-9f8b-e8851d0586c1
73175,E00073175,00HBNM0033,35144.0403442383,1839.5400116619,e16202f7-0d53-4bd4-9218-2feab3c99f02
74334,E00073962,00HBPK0034,58135.5930786133,1565.37540907957,0029a8c6-d95f-4592-b2f6-e1f1e5da0226
74002,E00073630,00HBPA0033,60108.1027412415,1914.76899711604,975ec76e-1bc6-4ea3-8612-2b445a147e79
75994,E00075622,00HDPS0021,34597.5422134399,991.130633292801,44b8652d-4142-4e08-b0e4-3640ff70c21b
172731,E00162900,46UCJA0003,10289001.9638939,18225.0015720152,5cb04e9e-60b2-4fbd-b016-ed98db60e07d
74835,E00074463,00HCNQ0006,4895941.34326935,17064.9996541704,e65f6498-4471-4ed1-b0d9-ad0808242c4d
173395,E00163564,46UFGP0015,75236.418888092,1951.14778474909,945bdf60-4347-446a-911b-8dd0f3c69552
74998,E00074626,00HCPD0020,178771.91312027,1879.87818693552,1e01202e-041e-430b-b939-1a308b73649a
74812,E00074440,00HCNP0001,867030.783744812,7492.31963182469,6d516642-4950-41ac-b828-d69bc1864772
73361,E00073423,00HBNU0010,16972.4409484863,649.733790773912,974536c5-3cfc-4c65-a6c6-93fc5c3a5d93
75402,E00075030,00HCQA0004,4133379.45441055,15175.1893699868,7a361b51-645d-4ba4-87bb-b82c7c96ff6e
74763,E00074391,00HBPY0029,58879.8655548096,1533.16732610532,48a52d8e-09a3-4c03-9867-3c2b99622927
73816,E00073382,00HBNT0005,94791.6709632874,1859.46819098577,d0251f0e-7b76-4cc2-a05c-8b987b5d33d1
74357,E00073985,00HBPL0021,61915.2448959351,1585.26161583138,ed929988-71ca-4c94-bf8f-af75cf172014
173372,E00163541,46UFGN0011,46017.0578765869,1308.7374592401,7dc2f625-7973-4d34-9225-89f1f2f5a510
75808,E00075436,00HDPJ0010,72657.1143875122,1337.97504392727,74799f13-5507-4864-a39a-169acc8df7c7
75353,E00074981,00HCPX0028,76349.8563194275,1295.19024684809,66d1fb73-774e-49db-bbd4-ce8e3693126c
72820,E00072820,00HAPH0008,73437.0307159424,1603.94780758361,f932c6ac-8c58-4fc3-a829-6d43be5f7720
58041,E00072611,00HANQ0024,2741232.35806274,7605.0971982175,0b9add8c-3906-413f-be5a-4ca3f31a847e
